classType,totalArea,FilteredArea,Clusters1,Max1,Mean1,Med1,Clusters2,Max2,Mean2,Med2,Bins,Count,Start,grayMAD,filteredKurtosis,imgPSD Mean1,1stdDev0,imglogPSD Mean1,1stdDev1,imgACF Mean1,1stdDev2,imgPSD Mean2,2stdDev0,imglogPSD Mean2,2stdDev1,imgACF Mean2,2stdDev2
Real,0.0395989,0.0316989,5,6,6,6,3,6,6,6,37,3740,13,10.294,0.214427,0.110993,0.0816627,0.487721,0.134661,0.220642,0.167867,0.151032,0.119214,0.535098,0.148383,0.173292,0.0819954
Real,0.0528918,0.0444088,19,9,6.78947,6,2,6,6,6,47,5084,13,12.6063,4.01049,0.137209,0.0938608,0.501487,0.136653,0.240366,0.126798,0.133095,0.0988644,0.498741,0.142935,0.217962,0.116484
Real,0.119445,0.104118,3,18,10.6667,8,1,7,7,7,34,4110,17,0,0,0.173039,0.0708554,0.607509,0.0817087,0.356596,0.151813,0.148039,0.0685876,0.603794,0.0797756,0.327324,0.150559
Real,0.0528981,0.0437816,0,0,0,0,0,0,0,0,39,3386,14,4.69964,4.31193,0.204311,0.0863269,0.591154,0.0965316,0.213363,0.118073,0.209421,0.101987,0.586545,0.112279,0.207226,0.0819702
Real,0.0745861,0.0602554,1,9,9,9,0,0,0,0,42,5550,14,16.6323,3.07616,0.25357,0.0936032,0.659405,0.0888699,0.231679,0.0962294,0.166103,0.0734007,0.617296,0.08025,0.214657,0.176215
Real,0.0736363,0.057876,0,0,0,0,0,0,0,0,30,3706,15,15.2763,0.0260371,0.23849,0.0902232,0.646477,0.0889313,0.194651,0.118113,0.188467,0.0872618,0.59457,0.0979458,0.192205,0.116569
Real,0.0528981,0.0437816,0,0,0,0,0,0,0,0,39,3386,14,4.69964,4.31193,0.204311,0.0863269,0.591154,0.0965316,0.213363,0.118073,0.209421,0.101987,0.586545,0.112279,0.207226,0.0819702
Copy,0.043134,0.033091,3,7,6.33333,6,6,7,6.16667,6,27,3549,13,14.3606,-1.01045,0.209741,0.0780571,0.636014,0.0801259,0.25097,0.163237,0.213269,0.0748038,0.645341,0.0777818,0.294395,0.161449
Copy,0.0706915,0.0538479,1,6,6,6,7,8,6.71429,7,29,3861,14,20.4334,9.70153,0.180014,0.0774298,0.5888,0.091856,0.258193,0.125099,0.10646,0.0720875,0.559247,0.0899421,0.264923,0.161748
Real,0.0590718,0.0503265,69,22,8.43478,8,36,12,7.22222,7,37,3116,14,9.13145,15.557,0.212369,0.0852836,0.597316,0.0968858,0.245023,0.117794,0.124497,0.0727869,0.537868,0.0972199,0.242689,0.163767
Copy,0.0438841,0.0353078,35,10,6.82857,7,20,9,6.5,6,28,4021,13,15.568,1.90868,0.156457,0.0738875,0.562921,0.0991228,0.242083,0.174494,0.208338,0.0765691,0.623893,0.0829605,0.294865,0.168483
Copy,0.0453794,0.0366988,3,8,6.66667,6,18,9,6.66667,6,27,4007,13,14.5949,0.0814812,0.191196,0.0716516,0.61477,0.0811541,0.278052,0.173861,0.208512,0.0731173,0.634482,0.080479,0.251329,0.183646
Copy,0.0114782,0.00793278,18,10,6.66667,6,44,12,7.22727,7,60,3166,10,7.91359,2.16988,0.138432,0.103543,0.556471,0.126314,0.101273,0.1195,0.216107,0.14022,0.601235,0.139611,0.122839,0.060207
Copy,0.0181051,0.0113006,8,7,6.125,6,1,6,6,6,37,3161,11,7.50211,2.16811,0.217752,0.126998,0.628909,0.122108,0.0948936,0.0754848,0.243643,0.138479,0.640705,0.126126,0.128164,0.0618936
Copy,0.0401827,0.0310834,0,0,0,0,0,0,0,0,25,3576,13,12.6283,2.10773,0.137974,0.0971401,0.570364,0.111222,0.0995211,0.122869,0.208785,0.121191,0.597805,0.129031,0.141977,0.0766966
Copy,0.0283262,0.0157848,3,32,15,7,0,0,0,0,24,3127,12,10.5847,0.121985,0.210258,0.111536,0.657219,0.0953575,0.114454,0.103278,0.222167,0.104283,0.666265,0.0986221,0.167497,0.0906479
Copy,0.00722714,0.00505958,17,10,6.76471,6,36,11,7.02778,7,53,2121,10,5.93606,0.193604,0.11258,0.086652,0.534595,0.119761,0.13343,0.148081,0.160859,0.110698,0.570319,0.125409,0.108789,0.0984452
Real,0.0364976,0.0256554,14,9,6.71429,6,3,7,6.33333,6,30,3472,13,7.28501,0.185777,0.29083,0.119709,0.671057,0.106599,0.227341,0.10177,0.187911,0.0856168,0.614127,0.0994885,0.208892,0.144009
Real,0.0951125,0.0817213,31,12,7.09677,7,1,6,6,6,59,6324,16,12.3796,7.77671,0.185118,0.0941956,0.560877,0.118213,0.204659,0.110531,0.13724,0.0967488,0.561232,0.115899,0.118704,0.132025
Real,0.12876,0.107639,1,9,9,9,1,6,6,6,48,8374,16,13.12,2.17074,0.25345,0.102096,0.668792,0.0901215,0.35129,0.0946348,0.301792,0.10863,0.728136,0.0819059,0.237187,0.0792734
Real,0.0798852,0.065149,0,0,0,0,0,0,0,0,42,4088,16,9.18478,2.17235,0.253326,0.107088,0.644727,0.106138,0.29059,0.107686,0.27955,0.109639,0.68837,0.0933077,0.336659,0.0950551
Real,0.104404,0.0963639,7,7,6.14286,6,1,7,7,7,59,5930,17,7.46494,2.17573,0.17172,0.0934084,0.55313,0.119361,0.174902,0.102097,0.21263,0.101334,0.58346,0.118677,0.183412,0.0766504
Real,0.0951125,0.0817213,31,12,7.09677,7,1,6,6,6,59,6324,16,12.3796,7.77671,0.185118,0.0941956,0.560877,0.118213,0.204659,0.110531,0.13724,0.0967488,0.561232,0.115899,0.118704,0.132025
Real,0.0869969,0.0700639,1,16,16,16,0,0,0,0,42,6401,15,10.8988,-0.83258,0.198794,0.0832317,0.639438,0.0839732,0.407307,0.115731,0.287154,0.103518,0.717895,0.0808637,0.308056,0.0870681
Real,0.0822003,0.0766266,39,61,12.0769,8,21,12,7.38095,7,52,7601,15,15.1562,10.3653,0.0742894,0.0618717,0.458518,0.129682,0.359702,0.264968,0.0604566,0.0480622,0.388968,0.107118,0.342644,0.296658
Real,0.129749,0.116493,12,9,6.91667,6.5,3,22,16.3333,21,48,4070,19,13.4676,40.899,0.170702,0.0825293,0.608569,0.0859974,0.129632,0.140012,0.183931,0.0813818,0.616659,0.0848229,0.139739,0.141321
Real,0.158345,0.146473,11,12,7.72727,7,10,12,7.3,6.5,51,7041,19,11.7409,0.113762,0.142755,0.0776576,0.558545,0.095097,0.158392,0.150027,0.122879,0.0687979,0.543083,0.0908198,0.195968,0.193479
Real,0.138684,0.127074,15,12,7.4,7,1,15,15,15,47,6133,19,9.78954,2.05758,0.211187,0.0884366,0.616716,0.0926555,0.221643,0.109983,0.131733,0.0704414,0.546399,0.0910418,0.186821,0.174396
Real,0.12503,0.113662,21,17,7.95238,7,1,8,8,8,46,5922,18,9.142,2.12447,0.168973,0.0829896,0.589835,0.0945294,0.165716,0.125142,0.164215,0.083855,0.570714,0.0964238,0.160476,0.147583
Real,0.133839,0.120593,8,8,6.375,6,3,8,7,7,45,5204,18,9.94601,3.01918,0.196845,0.0887891,0.615332,0.0944501,0.170856,0.108248,0.211429,0.0939173,0.610901,0.0969364,0.16706,0.114544
Real,0.125482,0.113782,6,7,6.33333,6,2,12,10.5,10.5,43,5117,18,9.5289,2.10177,0.136497,0.0657021,0.552059,0.0885333,0.20457,0.191266,0.116461,0.067698,0.535831,0.0891768,0.193083,0.192525
Real,0.101678,0.0933058,13,12,7.38462,6,2,8,7.5,7.5,45,6772,17,7.6785,0.0896847,0.128762,0.0704229,0.527878,0.100183,0.233645,0.191022,0.188683,0.0871213,0.582973,0.0973858,0.200979,0.123213
Real,0.140184,0.12342,0,0,0,0,0,0,0,0,47,6709,18,9.9627,3.09053,0.207833,0.0820979,0.622078,0.0893212,0.228077,0.114657,0.240067,0.0933583,0.655365,0.0893826,0.198016,0.0992356
Real,0.134592,0.120021,9,12,7,6,0,0,0,0,41,4410,19,10.3553,2.20705,0.178149,0.0800445,0.593077,0.0935517,0.188717,0.126421,0.214609,0.0843984,0.62,0.0912204,0.241914,0.127029
Real,0.0535487,0.039747,0,0,0,0,2,68,37,37,34,4003,13,16.2953,24.5149,0.116455,0.0611554,0.550716,0.0869483,0.269945,0.21858,0.236538,0.099237,0.633322,0.0978609,0.186406,0.090784
Real,0.0606652,0.0463009,0,0,0,0,11,66,13.7273,6,31,3085,14,9.50952,2.10166,0.134305,0.0559907,0.560399,0.0816954,0.351266,0.233894,0.250235,0.110068,0.66348,0.0942623,0.144176,0.0837819
Copy,0.0280334,0.0222168,13,8,6.53846,6,0,0,0,0,26,3385,12,9.14728,0.140536,0.14669,0.0754903,0.522605,0.100722,0.280564,0.141926,0.167752,0.0710056,0.554389,0.0968015,0.242731,0.155378
Copy,0.0439423,0.0367849,0,0,0,0,0,0,0,0,33,5943,12,2.97538,-0.707381,0.192895,0.0800412,0.572001,0.097685,0.218771,0.140409,0.223974,0.0775753,0.635336,0.0819916,0.397128,0.15597
Copy,0.0951872,0.0794271,0,0,0,0,0,0,0,0,32,3464,16,12.7068,2.07742,0.207931,0.0827251,0.635661,0.0833308,0.250676,0.128715,0.14642,0.0587883,0.616363,0.0719001,0.443272,0.190585
Copy,0.0518504,0.0431957,0,0,0,0,1,7,7,7,34,4284,14,3.64368,2.28602,0.213434,0.0761165,0.620342,0.0815669,0.362907,0.152458,0.22436,0.0784614,0.631278,0.0819085,0.34326,0.144375
Copy,0.0207055,0.0146305,41,414,20.2195,8,1,29,29,29,25,3456,11,4.07975,2.94467,0.14778,0.0596151,0.571774,0.0799746,0.364423,0.221825,0.128198,0.0500357,0.533288,0.0818961,0.453225,0.252878
Copy,0.0259087,0.0210199,8,14,7.875,6.5,0,0,0,0,25,4351,11,5.83389,2.18998,0.118366,0.0568934,0.49442,0.0914777,0.340301,0.211079,0.179046,0.0682874,0.561631,0.0909166,0.368366,0.178817
Copy,0.0344934,0.0276338,4,6,6,6,1,7,7,7,46,4265,12,9.8039,0.178875,0.182515,0.0770636,0.593978,0.0888965,0.201123,0.14155,0.253117,0.0894924,0.652207,0.0895856,0.274308,0.116538
Copy,0.0243469,0.0176941,12,10,6.66667,6,0,0,0,0,34,2503,12,5.1541,2.1925,0.120233,0.0897032,0.547324,0.105689,0.108655,0.144677,0.163996,0.0753387,0.58376,0.0938085,0.256202,0.148629
Copy,0.0160431,0.011659,17,12,7.05882,6,2,6,6,6,24,2686,11,4.76272,2.17839,0.121702,0.0906417,0.548094,0.103933,0.109947,0.139394,0.163423,0.0911785,0.582242,0.107489,0.174052,0.107307
Copy,0.071437,0.0623935,0,0,0,0,7,8,6.57143,6,35,4592,15,7.42691,-0.906243,0.178689,0.0776258,0.573586,0.0913217,0.238911,0.159684,0.173339,0.070497,0.598152,0.081492,0.388044,0.164411
Copy,0.0259665,0.0198459,18,156,18.1111,8,0,0,0,0,33,3151,12,4.68838,2.21625,0.184309,0.0713925,0.591864,0.0857405,0.361635,0.158912,0.242833,0.0888645,0.622429,0.094758,0.310209,0.121538
Copy,0.0576232,0.0493345,0,0,0,0,0,0,0,0,33,5124,14,5.78981,2.17505,0.196945,0.0740985,0.608846,0.0840526,0.275945,0.167443,0.175192,0.0735966,0.608944,0.0803687,0.374889,0.148862
Copy,0.0768484,0.0651414,14,10,7.14286,6.5,41,12,7.4878,7,32,2812,16,16.6408,2.04037,0.176801,0.063609,0.585281,0.0851748,0.355341,0.191191,0.193293,0.0724275,0.635444,0.0780386,0.35377,0.131866
Copy,0.0589972,0.0475416,22,9,6.77273,6.5,39,11,6.92308,6,32,3488,14,16.0706,2.00167,0.226315,0.0791428,0.633449,0.0845141,0.25482,0.126883,0.262637,0.0828706,0.674393,0.0779818,0.334951,0.139772
Copy,0.0777966,0.0694829,0,0,0,0,0,0,0,0,50,5137,15,7.79348,1.99569,0.185816,0.0896983,0.551291,0.111635,0.22977,0.1047,0.239503,0.113749,0.623881,0.110331,0.132337,0.0737779
Copy,0.0612115,0.0550257,0,0,0,0,0,0,0,0,48,5684,14,7.06645,4.00027,0.199435,0.0890131,0.553282,0.106664,0.215197,0.11612,0.21467,0.0986298,0.58565,0.105754,0.160685,0.0952211
Copy,0.0959813,0.076763,0,0,0,0,0,0,0,0,56,6119,16,9.3376,3.15607,0.168688,0.0771162,0.582673,0.0946425,0.286697,0.132105,0.157114,0.0689157,0.605469,0.0803434,0.342501,0.139468
